time;face_valid;bpm
56511127;1;47.6569
56511184;1;47.8088
56511250;1;95.5414
56511315;1;95.6938
56511415;1;94.9555
56511512;1;35.3704
56511586;1;35.7711
56511643;1;95.1814
56511713;1;95.0119
56511785;1;94.9367
56511842;1;35.6436
56511917;1;35.552
56511991;1;35.531
56512047;1;35.5802
56512122;1;35.517
56512241;1;35.6365
56512319;1;35.6083
56512385;1;35.7782
56512451;1;35.7782
56512518;1;35.8995
56512587;1;35.8995
56512652;1;35.8209
56512719;1;35.828
56512783;1;35.828
56512846;1;35.8923
56512929;1;35.7569
56512982;1;35.8066
56513056;1;35.7711
56513159;1;35.503
56513260;1;35.7072
56513314;1;35.7995
56513393;1;35.686
56513450;1;35.7711
56513508;1;35.878
56513581;1;35.7924
56513641;1;35.8352
56513707;1;35.8494
56513783;1;35.7853
56513839;1;35.8709
56513907;1;35.8352
56513974;1;35.8352
56514040;1;35.828
56514106;1;35.8209
56514169;1;35.8566
56514239;1;35.8209
56514303;1;35.7214
56514372;1;35.6013
56514440;1;35.5942
56514503;1;35.6365
56514572;1;35.5942
56514645;1;35.5661
56514704;1;83.5322
56514778;1;83.4161
56514846;1;83.2178
56514933;1;35.468
56515004;1;83.6487
56515073;1;83.7154
56515138;1;83.5821
56515205;1;83.6154
56515278;1;83.5821
56515353;1;35.7782
56515439;1;35.8852
56515498;1;35.9784
56515572;1;35.9281
56515679;1;35.6013
56515749;1;35.538
56515799;1;35.6224
56515878;1;35.6154
56515943;1;35.6295
56516004;1;35.5942
56516070;1;35.6506
56516134;1;35.6295
56516179;1;35.6295
56516234;1;35.6436
56516303;1;35.6224
56516368;1;35.6224
56516431;1;35.8852
56516569;1;35.5942
56516631;1;35.6789
56516736;1;35.3426
56516801;1;35.8852
56516872;1;35.7853
56516931;1;35.8995
56517009;1;35.8709
56517067;1;35.8566
56517168;1;35.6718
56517229;1;35.6789
56517296;1;35.6083
56517365;1;35.6718
56517432;1;35.6648
56517501;1;35.6436
56517562;1;35.686
56517630;1;35.693
56517696;1;35.686
